date,month,year,transaction,amount,sub_category,category
2023-10-26,2023-10-1,2023-1-1,expense,163,groceries,food
2023-11-03,2023-11-1,2023-1-1,expense,484,groceries,food
2023-11-13,2023-11-1,2023-1-1,expense,336,groceries,food
2023-11-27,2023-11-1,2023-1-1,expense,365,groceries,food
2023-12-05,2023-12-1,2023-1-1,expense,308,groceries,food
2023-12-14,2023-12-1,2023-1-1,expense,489,groceries,food
2023-12-20,2023-12-1,2023-1-1,expense,297,groceries,food
2023-12-27,2023-12-1,2023-1-1,expense,427,groceries,food
2023-01-25,2023-1-1,2023-1-1,expense,499,gym,misc
2023-02-25,2023-2-1,2023-1-1,expense,499,gym,misc
2023-03-25,2023-3-1,2023-1-1,expense,499,gym,misc
2023-04-25,2023-4-1,2023-1-1,expense,499,gym,misc
2023-05-25,2023-5-1,2023-1-1,expense,499,gym,misc
2023-06-25,2023-6-1,2023-1-1,expense,499,gym,misc
2023-07-25,2023-7-1,2023-1-1,expense,499,gym,misc
2023-08-25,2023-8-1,2023-1-1,expense,499,gym,misc
2023-09-25,2023-9-1,2023-1-1,expense,499,gym,misc
2023-10-25,2023-10-1,2023-1-1,expense,499,gym,misc
2023-11-25,2023-11-1,2023-1-1,expense,499,gym,misc
2023-12-25,2023-12-1,2023-1-1,expense,499,gym,misc
2023-01-25,2023-1-1,2023-1-1,expense,119,spotify,misc
2023-02-25,2023-2-1,2023-1-1,expense,119,spotify,misc
2023-03-25,2023-3-1,2023-1-1,expense,119,spotify,misc
2023-04-25,2023-4-1,2023-1-1,expense,119,spotify,misc
2023-05-25,2023-5-1,2023-1-1,expense,119,spotify,misc
2023-06-25,2023-6-1,2023-1-1,expense,119,spotify,misc
2023-07-25,2023-7-1,2023-1-1,expense,119,spotify,misc
2023-08-25,2023-8-1,2023-1-1,expense,119,spotify,misc
2023-09-25,2023-9-1,2023-1-1,expense,119,spotify,misc
2023-10-25,2023-10-1,2023-1-1,expense,119,spotify,misc
2023-11-25,2023-11-1,2023-1-1,expense,119,spotify,misc
2023-12-25,2023-12-1,2023-1-1,expense,119,spotify,misc
2023-01-15,2023-1-1,2023-1-1,expense,760,gas,transport
2023-02-28,2023-2-1,2023-1-1,expense,701,gas,transport
2023-03-20,2023-3-1,2023-1-1,expense,626,gas,transport
2023-05-02,2023-5-1,2023-1-1,expense,716,gas,transport
2023-06-17,2023-6-1,2023-1-1,expense,680,gas,transport
2023-08-10,2023-8-1,2023-1-1,expense,781,gas,transport
2023-09-30,2023-9-1,2023-1-1,expense,696,gas,transport
2023-11-16,2023-11-1,2023-1-1,expense,757,gas,transport
2023-12-19,2023-12-1,2023-1-1,expense,704,gas,transport
2023-02-04,2023-2-1,2023-1-1,expense,251,clothing,misc
2023-03-30,2023-3-1,2023-1-1,expense,798,clothing,misc
2023-04-10,2023-4-1,2023-1-1,expense,568,clothing,misc
2023-06-09,2023-6-1,2023-1-1,expense,313,clothing,misc
2023-07-20,2023-7-1,2023-1-1,expense,261,clothing,misc
2023-10-18,2023-10-1,2023-1-1,expense,100,clothing,misc
2023-11-05,2023-11-1,2023-1-1,expense,543,clothing,misc
2023-12-19,2023-12-1,2023-1-1,expense,407,clothing,misc
2023-02-10,2023-2-1,2023-1-1,expense,430,gifts,misc
2023-03-05,2023-3-1,2023-1-1,expense,572,gifts,misc
2023-09-17,2023-9-1,2023-1-1,expense,543,gifts,misc
2023-11-15,2023-11-1,2023-1-1,expense,564,gifts,misc
2023-12-04,2023-12-1,2023-1-1,expense,548,gifts,misc
2023-12-07,2023-12-1,2023-1-1,expense,547,gifts,misc
2023-12-09,2023-12-1,2023-1-1,expense,322,gifts,misc
2023-12-17,2023-12-1,2023-1-1,expense,447,gifts,misc
2023-01-13,2023-1-1,2023-1-1,expense,130,restaurants,food
2023-01-19,2023-1-1,2023-1-1,expense,258,restaurants,food
2023-02-25,2023-2-1,2023-1-1,expense,591,restaurants,food
2023-02-28,2023-2-1,2023-1-1,expense,402,restaurants,food
2023-03-05,2023-3-1,2023-1-1,expense,435,restaurants,food
2023-03-29,2023-3-1,2023-1-1,expense,151,restaurants,food
2023-04-10,2023-4-1,2023-1-1,expense,409,restaurants,food
2023-04-14,2023-4-1,2023-1-1,expense,437,restaurants,food
2023-05-16,2023-5-1,2023-1-1,expense,414,restaurants,food
2023-06-07,2023-6-1,2023-1-1,expense,354,restaurants,food
2023-06-27,2023-6-1,2023-1-1,expense,392,restaurants,food
2023-07-03,2023-7-1,2023-1-1,expense,528,restaurants,food
2023-07-15,2023-7-1,2023-1-1,expense,104,restaurants,food
2023-07-31,2023-7-1,2023-1-1,expense,432,restaurants,food
2023-08-02,2023-8-1,2023-1-1,expense,300,restaurants,food
2023-08-19,2023-8-1,2023-1-1,expense,334,restaurants,food
2023-09-24,2023-9-1,2023-1-1,expense,310,restaurants,food
2023-10-06,2023-10-1,2023-1-1,expense,452,restaurants,food
2023-10-28,2023-10-1,2023-1-1,expense,287,restaurants,food
2023-11-14,2023-11-1,2023-1-1,expense,282,restaurants,food
2023-02-23,2023-2-1,2023-1-1,expense,418,entertainment,misc
2023-05-17,2023-5-1,2023-1-1,expense,753,entertainment,misc
2023-06-30,2023-6-1,2023-1-1,expense,135,entertainment,misc
2023-09-25,2023-9-1,2023-1-1,expense,453,entertainment,misc
2023-10-18,2023-10-1,2023-1-1,expense,360,entertainment,misc
2023-12-05,2023-12-1,2023-1-1,expense,1048,entertainment,misc
2023-02-06,2023-2-1,2023-1-1,expense,50,medical,misc
2023-03-04,2023-3-1,2023-1-1,expense,150,medical,misc
2023-05-26,2023-5-1,2023-1-1,expense,50,medical,misc
2023-07-18,2023-7-1,2023-1-1,expense,200,medical,misc
2023-08-09,2023-8-1,2023-1-1,expense,50,medical,misc
2023-10-01,2023-10-1,2023-1-1,expense,50,medical,misc
2023-11-15,2023-11-1,2023-1-1,expense,200,medical,misc
2023-11-30,2023-11-1,2023-1-1,expense,50,medical,misc
2023-01-25,2023-1-1,2023-1-1,expense,1000,investments,investments
2023-02-25,2023-2-1,2023-1-1,expense,1000,investments,investments
2023-03-25,2023-3-1,2023-1-1,expense,1000,investments,investments
2023-04-25,2023-4-1,2023-1-1,expense,1000,investments,investments
2023-05-25,2023-5-1,2023-1-1,expense,1000,investments,investments
2023-06-25,2023-6-1,2023-1-1,expense,1000,investments,investments
2023-07-25,2023-7-1,2023-1-1,expense,1000,investments,investments
2023-08-25,2023-8-1,2023-1-1,expense,1000,investments,investments
2023-09-25,2023-9-1,2023-1-1,expense,1000,investments,investments
2023-10-25,2023-10-1,2023-1-1,expense,1000,investments,investments
2023-11-25,2023-11-1,2023-1-1,expense,1000,investments,investments
2023-12-25,2023-12-1,2023-1-1,expense,1000,investments,investments
2023-01-25,2023-1-1,2023-1-1,income,26000,salary,income
2023-02-25,2023-2-1,2023-1-1,income,26000,salary,income
2023-03-25,2023-3-1,2023-1-1,income,26000,salary,income
2023-04-25,2023-4-1,2023-1-1,income,26000,salary,income
2023-05-25,2023-5-1,2023-1-1,income,26000,salary,income
2023-06-25,2023-6-1,2023-1-1,income,26000,salary,income
2023-07-25,2023-7-1,2023-1-1,income,26000,salary,income
2023-08-25,2023-8-1,2023-1-1,income,26000,salary,income
2023-09-25,2023-9-1,2023-1-1,income,26000,salary,income
2023-10-25,2023-10-1,2023-1-1,income,26000,salary,income
2023-11-25,2023-11-1,2023-1-1,income,26000,salary,income
2023-12-25,2023-12-1,2023-1-1,income,26000,salary,income
