date,transaction,amount,subcategory,category,name
2023-08-19,expense,334,restaurants,food,restaurants
2023-08-25,expense,5500,rent,housing,rent
2023-08-25,expense,469,utilities,housing,utilities
2023-08-25,expense,250,insurance,housing,insurance
2023-08-25,expense,230,internet,utilities,internet
2023-08-25,expense,100,phone,utilities,phone
2023-08-25,expense,499,gym,misc,gym
2023-08-25,expense,119,spotify,misc,spotify
2023-08-25,expense,1000,investments,investments,investments
2023-08-25,income,26000,salary,income,salary
2023-08-28,expense,274,groceries,food,groceries
2023-09-07,expense,494,groceries,food,groceries
2023-09-17,expense,488,groceries,food,groceries
2023-09-17,expense,543,gifts,misc,gifts
2023-09-24,expense,310,restaurants,food,restaurants
2023-09-25,expense,5500,rent,housing,rent
2023-09-25,expense,441,utilities,housing,utilities
2023-09-25,expense,250,insurance,housing,insurance
2023-09-25,expense,230,internet,utilities,internet
2023-09-25,expense,100,phone,utilities,phone
2023-09-25,expense,671,groceries,food,groceries
2023-09-25,expense,499,gym,misc,gym
2023-09-25,expense,119,spotify,misc,spotify
2023-09-25,expense,453,entertainment,misc,entertainment
2023-09-25,expense,1000,investments,investments,investments
2023-09-25,income,26000,salary,income,salary
2023-09-30,expense,696,gas,transport,gas
2023-10-01,expense,50,medical,misc,medical
2023-10-06,expense,452,restaurants,food,restaurants
2023-10-09,expense,420,groceries,food,groceries
2023-10-14,expense,380,groceries,food,groceries
2023-10-18,expense,100,clothing,misc,clothing
2023-10-18,expense,360,entertainment,misc,entertainment
2023-10-22,expense,189,groceries,food,groceries
2023-10-25,expense,5500,rent,housing,rent
2023-10-25,expense,477,utilities,housing,utilities
2023-10-25,expense,250,insurance,housing,insurance
2023-10-25,expense,230,internet,utilities,internet
2023-10-25,expense,100,phone,utilities,phone
2023-10-25,expense,499,gym,misc,gym
2023-10-25,expense,119,spotify,misc,spotify
2023-10-25,expense,1000,investments,investments,investments
2023-10-25,income,26000,salary,income,salary
2023-10-26,expense,163,groceries,food,groceries
2023-10-28,expense,287,restaurants,food,restaurants
2023-11-03,expense,484,groceries,food,groceries
2023-11-05,expense,543,clothing,misc,clothing
2023-11-13,expense,336,groceries,food,groceries
2023-11-14,expense,282,restaurants,food,restaurants
2023-11-15,expense,564,gifts,misc,gifts
2023-11-15,expense,200,medical,misc,medical
2023-11-16,expense,757,gas,transport,gas
2023-11-25,expense,5500,rent,housing,rent
2023-11-25,expense,420,utilities,housing,utilities
2023-11-25,expense,250,insurance,housing,insurance
2023-11-25,expense,230,internet,utilities,internet
2023-11-25,expense,100,phone,utilities,phone
2023-11-25,expense,499,gym,misc,gym
2023-11-25,expense,119,spotify,misc,spotify
2023-11-25,expense,1000,investments,investments,investments
2023-11-25,income,26000,salary,income,salary
2023-11-27,expense,365,groceries,food,groceries
2023-11-30,expense,50,medical,misc,medical
2023-12-04,expense,548,gifts,misc,gifts
2023-12-05,expense,308,groceries,food,groceries
2023-12-05,expense,1048,entertainment,misc,entertainment
2023-12-07,expense,547,gifts,misc,gifts
2023-12-09,expense,322,gifts,misc,gifts
2023-12-14,expense,489,groceries,food,groceries
2023-12-17,expense,447,gifts,misc,gifts
2023-12-19,expense,704,gas,transport,gas
2023-12-19,expense,407,clothing,misc,clothing
2023-12-20,expense,297,groceries,food,groceries
2023-12-25,expense,5500,rent,housing,rent
2023-12-25,expense,463,utilities,housing,utilities
2023-12-25,expense,250,insurance,housing,insurance
2023-12-25,expense,230,internet,utilities,internet
2023-12-25,expense,100,phone,utilities,phone
2023-12-25,expense,499,gym,misc,gym
2023-12-25,expense,119,spotify,misc,spotify
2023-12-25,expense,1000,investments,investments,investments
2023-12-25,income,26000,salary,income,salary
2023-12-27,expense,427,groceries,food,groceries
2024-01-03,expense,275,groceries,food,groceries
2024-01-10,expense,673,groceries,food,groceries
2024-01-13,expense,130,restaurants,food,restaurants
2024-01-15,expense,760,gas,transport,gas
2024-01-19,expense,258,restaurants,food,restaurants
2024-01-22,expense,644,groceries,food,groceries
2024-01-25,expense,5500,rent,housing,rent
2024-01-25,expense,404,utilities,housing,utilities
2024-01-25,expense,250,insurance,housing,insurance
2024-01-25,expense,230,internet,utilities,internet
2024-01-25,expense,100,phone,utilities,phone
2024-01-25,expense,499,gym,misc,gym
2024-01-25,expense,119,spotify,misc,spotify
2024-01-25,expense,1000,investments,investments,investments
2024-01-25,income,26000,salary,income,salary
2024-01-30,expense,639,groceries,food,groceries
2024-02-04,expense,251,clothing,misc,clothing
2024-02-05,expense,174,groceries,food,groceries
2024-02-06,expense,50,medical,misc,medical
2024-02-10,expense,430,gifts,misc,gifts
2024-02-22,expense,301,groceries,food,groceries
2024-02-23,expense,418,entertainment,misc,entertainment
2024-02-25,expense,5500,rent,housing,rent
2024-02-25,expense,467,utilities,housing,utilities
2024-02-25,expense,250,insurance,housing,insurance
2024-02-25,expense,230,internet,utilities,internet
2024-02-25,expense,100,phone,utilities,phone
2024-02-25,expense,499,gym,misc,gym
2024-02-25,expense,119,spotify,misc,spotify
2024-02-25,expense,591,restaurants,food,restaurants
2024-02-25,expense,1000,investments,investments,investments
2024-02-25,income,26000,salary,income,salary
2024-02-28,expense,278,groceries,food,groceries
2024-02-28,expense,701,gas,transport,gas
2024-02-28,expense,402,restaurants,food,restaurants
2024-03-02,expense,492,groceries,food,groceries
2024-03-04,expense,150,medical,misc,medical
2024-03-05,expense,572,gifts,misc,gifts
2024-03-05,expense,435,restaurants,food,restaurants
2024-03-18,expense,556,groceries,food,groceries
2024-03-20,expense,626,gas,transport,gas
2024-03-25,expense,5500,rent,housing,rent
2024-03-25,expense,475,utilities,housing,utilities
2024-03-25,expense,250,insurance,housing,insurance
2024-03-25,expense,230,internet,utilities,internet
2024-03-25,expense,100,phone,utilities,phone
2024-03-25,expense,499,gym,misc,gym
2024-03-25,expense,119,spotify,misc,spotify
2024-03-25,expense,1000,investments,investments,investments
2024-03-25,income,26000,salary,income,salary
2024-03-29,expense,151,restaurants,food,restaurants
2024-03-30,expense,327,groceries,food,groceries
2024-03-30,expense,798,clothing,misc,clothing
2024-03-31,expense,590,groceries,food,groceries
